name,SMILES,number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP
"2,6-dimethylheptane",CC(C)CCCC(C)C,9,128.26,0.71,180.7,-103.0,135,304.0,20.8,,
"3,3-dimethylheptane",CCC(C)(C)CCCC,9,128.26,0.73,175.6,,137,304.0,21.1,,
"3,4-dimethylheptane",CCC(C)C(C)CCC,9,128.26,0.731,175.4,,141,311.0,22.3,,
"3,5-dimethylheptane",CCC(C)CC(C)CC,9,128.26,0.723,177.4,,136,302.0,21.5,,
"4,4-dimethylheptane",CCCC(C)(C)CCC,9,128.26,0.734,,,135,302.0,21.0,,
"3-ethyl-2,2-dimethylpentane",CCC(CC)CC,9,128.26,,,-99.0,134,302.0,21.2,,
"3-ethyl-2,3-dimethylpentane",CCC(CC)CC,9,128.26,0.754,170.1,-117.0,142,316.0,21.6,,
"3-ethyl-2,4-dimethylpentane",CCC(CC)CC,9,128.26,,,0.0,137,307.0,21.5,,
3-ethylheptane,CCC(CC)CCCC,9,128.26,0.726,176.7,-115.0,119,313.0,22.2,,
4-ethylheptane,CCCC(CC)CCC,9,128.26,0.741,173.2,,141,311.0,22.4,,
3-ethyl-2-methylhexane,CC(C)C(CC)CCC,9,128.26,0.731,175.5,,138,307.0,21.8,443.0,
3-ethyl-3-methylhexane,CCC(CC)(C)CCC,9,128.26,0.741,173.1,,141,312.0,21.6,455.0,
3-ethyl-4-methylhexane,CCC(CC)C(C)CC,9,128.26,0.742,172.9,,140,312.0,22.4,,
4-ethyl-2-methylhexane,CC(C)CC(CC)CC,9,128.26,,,,134,300.0,21.2,,
2-methyloctane,CC(C)CCCCCC,9,128.26,0.712,180.1,-80.0,143,311.0,21.8,478.46,
3-methyloctane,CCC(C)CCCCC,9,128.26,0.721,177.9,-108.0,144,314.0,22.2,478.46,
4-methyloctane,CCCC(C)CCCC,9,128.26,0.722,177.6,-113.0,142,311.0,22.1,478.46,
"2,2,3,3-tetramethylpentane",CC(C)(C)C(C)(C)CC,9,128.26,0.757,169.5,-10.0,140,316.0,22.0,,
"2,2,3,4-tetramethylpentane",CC(C)(C)C(C)C(C)C,9,128.26,0.739,173.6,-121.0,133,302.0,21.1,,
"2,2,4,4-tetramethylpentane",CC(C)(C)CC(C)(C)C,9,128.26,0.719,178.5,-67.0,122,283.0,19.5,,
"2,3,3,4-tetramethylpentane",CC(C)C(C)(C)C(C)C,9,128.26,0.755,169.9,-102.0,142,317.0,21.8,,
"2,2,3-trimethylhexane",CC(C)(C)C(C)CCC,9,128.26,,,,134,301.0,21.1,,
"2,2,4-trimethylhexane",CC(C)(C)CC(C)CC,9,128.26,0.716,179.1,-120.0,127,289.0,20.4,,
"2,2,5-trimethylhexane",CC(C)(C)CCC(C)C,9,128.26,0.708,181.3,-106.0,124,282.0,19.8,,
"2,3,3-trimethylhexane",CC(C)C(C)(C)CCC,9,128.26,0.738,173.8,-117.0,138,308.0,21.1,,
"2,3,4-trimethylhexane",CC(C)C(C)C(C)CC,9,128.26,0.739,173.5,,139,311.0,22.0,,
"2,3,5-trimethylhexane",CC(C)C(C)CC(C)C,9,128.26,0.717,178.9,-128.0,131,295.0,20.8,,
"2,4,4-trimethylhexane",CC(C)CC(C)(C)CC,9,128.26,0.724,177.2,-113.0,131,295.0,20.6,,
"3,3,4-trimethylhexane",CCC(C)(C)C(C)CC,9,128.26,0.745,172.1,-101.0,140,312.0,21.4,,
